epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
107,35799.3,0.55099,0.28129,0.79532,0.99698,1,0.995,0.87837,0.70163,0.30525,0.80738,0.000333744,0.000333744,0.000333744
108,36132,0.53772,0.27307,0.7968,0.99637,1,0.995,0.87639,0.72975,0.31318,0.81006,0.000326412,0.000326412,0.000326412
109,36459.6,0.54733,0.27617,0.79995,0.99638,1,0.995,0.87568,0.71382,0.30474,0.80969,0.000319079,0.000319079,0.000319079
110,36786.5,0.54247,0.27483,0.79848,0.99639,1,0.995,0.87584,0.7308,0.30808,0.81151,0.000311747,0.000311747,0.000311747
111,37121.2,0.53486,0.27094,0.79715,0.99503,1,0.995,0.87004,0.72776,0.30831,0.81018,0.000304414,0.000304414,0.000304414
112,37456.5,0.54051,0.27316,0.79944,0.99537,1,0.995,0.87361,0.7202,0.3091,0.80917,0.000297081,0.000297081,0.000297081
113,37800,0.53375,0.2708,0.79364,0.99727,1,0.995,0.87318,0.71788,0.31111,0.80902,0.000289749,0.000289749,0.000289749
114,38144.4,0.53437,0.26849,0.79761,0.99645,1,0.995,0.87278,0.71316,0.30652,0.80838,0.000282416,0.000282416,0.000282416
115,38492.1,0.52158,0.26605,0.79278,0.99732,1,0.995,0.8759,0.72648,0.31373,0.80885,0.000275084,0.000275084,0.000275084
116,38839.7,0.5328,0.2701,0.79443,0.99643,1,0.995,0.881,0.70493,0.30623,0.80845,0.000267751,0.000267751,0.000267751
117,39184.5,0.51999,0.26578,0.79491,0.99852,1,0.995,0.87779,0.69856,0.3028,0.80745,0.000260418,0.000260418,0.000260418
118,39529.4,0.5271,0.26711,0.79814,0.99711,1,0.995,0.87653,0.70432,0.30238,0.80702,0.000253086,0.000253086,0.000253086
119,39875.2,0.52776,0.26922,0.79544,0.99641,1,0.995,0.87706,0.72197,0.30509,0.80805,0.000245753,0.000245753,0.000245753
120,40222.7,0.52325,0.26562,0.79346,0.99697,1,0.995,0.87911,0.70527,0.30467,0.80707,0.000238421,0.000238421,0.000238421
121,40573.2,0.52,0.2641,0.79525,0.99707,1,0.995,0.89062,0.70545,0.30138,0.8074,0.000231088,0.000231088,0.000231088
122,40922.5,0.52349,0.26552,0.79404,0.99709,1,0.995,0.88539,0.70536,0.30366,0.80728,0.000223755,0.000223755,0.000223755
123,41262.2,0.53335,0.26927,0.79517,0.9962,1,0.995,0.88191,0.70905,0.31167,0.80836,0.000216423,0.000216423,0.000216423
124,41614,0.51643,0.26285,0.79601,0.99714,1,0.995,0.8777,0.70827,0.30433,0.80732,0.00020909,0.00020909,0.00020909
125,41967.7,0.52199,0.2645,0.79727,0.99708,1,0.995,0.88078,0.71678,0.30635,0.80746,0.000201758,0.000201758,0.000201758
126,42318.7,0.52067,0.26323,0.79759,0.99716,1,0.995,0.88466,0.70001,0.30363,0.80712,0.000194425,0.000194425,0.000194425
127,42670.4,0.52141,0.26329,0.79559,0.99645,1,0.995,0.88303,0.70092,0.30358,0.80764,0.000187092,0.000187092,0.000187092
128,43022.5,0.50668,0.25868,0.79497,0.99698,1,0.995,0.87811,0.71105,0.30366,0.80869,0.00017976,0.00017976,0.00017976
129,43347.4,0.51532,0.26032,0.7934,0.99628,1,0.995,0.88291,0.69391,0.3041,0.80707,0.000172427,0.000172427,0.000172427
130,43672.9,0.51154,0.25971,0.79403,0.99718,1,0.995,0.88253,0.70339,0.30299,0.80711,0.000165095,0.000165095,0.000165095
131,44001.9,0.51446,0.26188,0.79281,0.99657,1,0.995,0.87864,0.71911,0.31025,0.80805,0.000157762,0.000157762,0.000157762
132,44332,0.51993,0.26251,0.79577,0.99624,1,0.995,0.8799,0.72185,0.30664,0.808,0.000150429,0.000150429,0.000150429
133,44660.7,0.52417,0.26275,0.79463,0.99711,1,0.995,0.87904,0.70849,0.30017,0.80784,0.000143097,0.000143097,0.000143097
